ITGAM	ITGAM
CD14	CD14
AIF1	AIF1
CSF1R	CSF1R
CD163	CD163
MRC1	MRC1
CD80	CD80
CD86	CD86
CD68	CD68
FCGR3A	FCGR3A
ITGAM	ITGAM
ITGAX	ITGAX
CD1C	CD1C
CD1E	CD1E
CD83	CD83
CD19	CD19
CD22	CD22
CD79A	CD79A
CD2	CD2
CD3D	CD3D
CD3E	CD3E
CD3G	CD3G
CD4	CD4
CD8A	CD8A
CD8B	CD8B
FOXP3	FOXP3
PTPRC	PTPRC
IL7R	IL7R
SDC1	SDC1
CD38	CD38
CD27	CD27
JCHAIN	JCHAIN
NCAM1	NCAM1
EPCAM	EPCAM
CDH1	CDH1
KLK5	KLK5
KLK6	KLK6
KLK7	KLK7
KLK8	KLK8
KLK10	KLK10
KRT17	KRT17
SOX17	SOX17
CDKN2A	CDKN2A
PECAM1	PECAM1
CD34	CD34
FAP	FAP
TCF21	TCF21
ITGA5	ITGA5
PDPN	PDPN
DCN	DCN
THY1	THY1
MMP2	MMP2
SNAI2	SNAI2
COL1A2	COL1A2
PDGFRA	PDGFRA
PDGFRB	PDGFRB
GATA1	GATA1
HBB	HBB
HBA1	HBA1
HBA2	HBA2
KIT	KIT
TPSAB1	TPSAB1
CPA3	CPA3
RGS5	RGS5
